linkID,enterNodeID,exitNodeID,travelDirection,startTravelTime,whichDay,whichPeriod,travelTime,meanSpeed,speedDeviation,flow,density
603,608,654,-1,2014-04-20 08:00:00,7,33,96.471164,5.07,1.34,3,6.133605
603,608,654,-1,2014-04-19 08:00:00,6,33,102.970274,4.75,2.85,2,4.089070
603,608,654,-1,2014-04-18 08:00:00,5,33,296.429576,1.65,0.0,1,2.044535
603,608,654,-1,2014-04-17 08:00:00,4,33,339.136436,1.48,0.11,2,4.089070
603,608,654,-1,2014-04-16 08:00:00,3,33,298.237073,1.64,0.0,1,2.044535
603,608,654,-1,2014-04-15 08:00:00,2,33,191.058125,2.56,0.0,1,2.044535
603,608,654,-1,2014-04-14 08:00:00,1,33,115.606088,4.34,0.57,2,4.089070
603,608,654,-1,2014-04-13 08:00:00,7,33,109.665650,4.46,0.9,4,8.178140
603,608,654,-1,2014-04-12 08:00:00,6,33,149.574557,3.27,0.41,4,8.178140
603,608,654,-1,2014-04-11 08:00:00,5,33,117.011675,4.18,0.0,1,2.044535
603,608,654,-1,2014-04-10 08:00:00,4,33,253.424249,1.93,0.0,1,2.044535
603,608,654,-1,2014-04-09 08:00:00,3,33,270.673578,1.97,0.28,3,6.133605
603,608,654,-1,2014-04-08 08:00:00,2,33,266.399432,1.91,0.24,3,6.133605
603,608,654,-1,2014-04-07 08:00:00,1,33,118.428281,4.13,0.09,4,8.178140
603,608,654,-1,2014-04-06 08:00:00,7,33,106.559651,4.59,0.45,2,4.089070
603,608,654,-1,2014-04-05 08:00:00,6,33,141.770667,3.45,0.59,7,14.311744
603,608,654,-1,2014-04-04 08:00:00,5,33,290.908760,1.85,0.03,2,4.089070
603,608,654,-1,2014-04-03 08:00:00,4,33,230.943572,3.09,0.32,2,4.089070
603,608,654,-1,2014-04-02 08:00:00,3,33,339.658889,1.44,0.0,1,2.044535
603,608,654,-1,2014-04-01 08:00:00,2,33,627.062564,0.78,0.0,1,2.044535
603,608,654,-1,2014-03-31 08:00:00,1,33,115.163329,4.38,1.08,2,4.089070
603,608,654,-1,2014-03-30 08:00:00,7,33,143.433666,3.41,0.42,2,4.089070
603,608,654,-1,2014-03-29 08:00:00,6,33,339.658889,1.44,0.0,1,2.044535
603,608,654,-1,2014-03-28 08:00:00,5,33,88.928873,5.5,0.0,1,2.044535
603,608,654,-1,2014-03-27 08:00:00,4,33,70.988215,6.89,0.0,1,2.044535
603,608,654,-1,2014-03-26 08:00:00,3,33,255.717869,2.20,0.28,2,4.089070
603,608,654,-1,2014-03-25 08:00:00,2,33,312.833421,1.85,0.05,2,4.089070
603,608,654,-1,2014-03-24 08:00:00,1,33,300.066748,1.63,0.0,1,2.044535
603,608,654,-1,2014-03-23 08:00:00,7,33,96.471164,5.07,0.24,2,4.089070
603,608,654,-1,2014-03-22 08:00:00,6,33,305.605942,1.82,0.08,3,6.133605
603,608,654,-1,2014-03-21 08:00:00,5,33,156.765641,3.12,2.31,3,6.133605
603,608,654,-1,2014-03-20 08:00:00,4,33,328.518952,1.57,0.00,1,2.044535
603,608,654,-1,2014-03-19 08:00:00,3,33,264.383135,1.85,0.0,1,2.044535
603,608,654,-1,2014-03-18 08:00:00,2,33,284.574006,2.08,0.00,1,2.044535
603,608,654,-1,2014-03-17 08:00:00,1,33,200.919833,2.47,0.10,2,4.089070
603,608,654,-1,2014-03-16 08:00:00,7,33,105.358801,4.72,1.09,2,4.089070
603,608,654,-1,2014-03-15 08:00:00,6,33,95.155068,6.25,0.80,2,4.089070
603,608,654,-1,2014-03-14 08:00:00,5,33,205.168031,2.76,0.37,3,6.133605
603,608,654,-1,2014-03-13 08:00:00,4,33,117.826437,4.22,0.75,3,6.133605
603,608,654,-1,2014-03-12 08:00:00,3,33,229.628545,2.13,0.0,1,2.044535
603,608,654,-1,2014-03-11 08:00:00,2,33,186.294596,2.82,0.59,3,6.133605
603,608,654,-1,2014-03-10 08:00:00,1,33,353.430327,1.68,0.11,3,6.133605
603,608,654,-1,2014-03-09 08:00:00,7,33,90.912416,5.38,0.35,4,8.178140
603,608,654,-1,2014-03-08 08:00:00,6,33,80.445526,6.08,0.49,2,4.089070
603,608,654,-1,2014-03-07 08:00:00,5,33,167.847505,3.22,0.93,3,6.133605
603,608,654,-1,2014-03-06 08:00:00,4,33,289.779033,2.04,0.20,2,4.089070
603,608,654,-1,2014-03-05 08:00:00,3,33,236.284444,2.07,0.65,3,6.133605
603,608,654,-1,2014-03-04 08:00:00,2,33,272.879876,1.83,0.06,2,4.089070
603,608,654,-1,2014-03-03 08:00:00,1,33,266.933370,1.92,0.17,3,6.133605
603,608,654,-1,2014-03-02 08:00:00,7,33,115.902559,4.22,2.0,3,6.133605
603,608,654,-1,2014-03-01 08:00:00,6,33,121.066535,4.04,0.34,4,8.178140
