Total_epoch:1000
link:603 Epoch:0201cost =0.095511459; MAPE0.999787574
link:603 Epoch:0202cost =0.095511183; MAPE0.999785774
link:603 Epoch:0203cost =0.095510907; MAPE0.999783825
link:603 Epoch:0204cost =0.095510580; MAPE0.999781711
link:603 Epoch:0205cost =0.095510222; MAPE0.999779410
link:603 Epoch:0206cost =0.095509842; MAPE0.999776897
link:603 Epoch:0207cost =0.095509417; MAPE0.999774137
link:603 Epoch:0208cost =0.095508851; MAPE0.999771082
link:603 Epoch:0209cost =0.095508203; MAPE0.999767668
link:603 Epoch:0210cost =0.095507182; MAPE0.999763794
link:603 Epoch:0211cost =0.095505528; MAPE0.999759275
link:603 Epoch:0212cost =0.095502101; MAPE0.999753630
link:603 Epoch:0213cost =0.095491320; MAPE0.999744757
link:603 Epoch:0214cost =0.095392667; MAPE0.999719293
link:603 Epoch:0215cost =0.075090297; MAPE0.999874799
link:603 Epoch:0216cost =0.095332623; MAPE0.999934837
link:603 Epoch:0217cost =0.076072380; MAPE0.999909065
link:603 Epoch:0218cost =0.095487408; MAPE0.999904946
link:603 Epoch:0219cost =0.095445782; MAPE0.999885476
link:603 Epoch:0220cost =0.095187880; MAPE0.999342198
link:603 Epoch:0221cost =0.075434990; MAPE0.999910404
link:603 Epoch:0222cost =0.095489725; MAPE0.999886899
link:603 Epoch:0223cost =0.095367089; MAPE0.999799265
link:603 Epoch:0224cost =0.117292315; MAPE0.999896471
link:603 Epoch:0225cost =0.095517293; MAPE0.999877054
link:603 Epoch:0226cost =0.095513925; MAPE0.999862966
link:603 Epoch:0227cost =0.095512711; MAPE0.999849851
link:603 Epoch:0228cost =0.095512033; MAPE0.999837674
link:603 Epoch:0229cost =0.095511533; MAPE0.999826324
link:603 Epoch:0230cost =0.095511302; MAPE0.999814855
link:603 Epoch:0231cost =0.095511138; MAPE0.999802195
link:603 Epoch:0232cost =0.095510982; MAPE0.999787632
link:603 Epoch:0233cost =0.095510855; MAPE0.999770567
link:603 Epoch:0234cost =0.095510721; MAPE0.999750277
link:603 Epoch:0235cost =0.095510557; MAPE0.999725745
link:603 Epoch:0236cost =0.095510378; MAPE0.999695489
link:603 Epoch:0237cost =0.095510177; MAPE0.999657253
link:603 Epoch:0238cost =0.095509924; MAPE0.999607448
link:603 Epoch:0239cost =0.095509596; MAPE0.999540030
link:603 Epoch:0240cost =0.095509186; MAPE0.999444056
link:603 Epoch:0241cost =0.095508672; MAPE0.999297742
link:603 Epoch:0242cost =0.095507890; MAPE0.999051584
link:603 Epoch:0243cost =0.095506690; MAPE0.998568898
link:603 Epoch:0244cost =0.095504582; MAPE0.997331027
link:603 Epoch:0245cost =0.095499620; MAPE0.991638983
link:603 Epoch:0246cost =0.095477320; MAPE0.770678028
link:603 Epoch:0247cost =0.094724618; MAPE3.668190776
link:603 Epoch:0248cost =0.135611638; MAPE3.552501994
link:603 Epoch:0249cost =0.110479295; MAPE0.999023789
link:603 Epoch:0250cost =0.125844628; MAPE0.998134032
link:603 Epoch:0251cost =0.117680423; MAPE0.998170076
link:603 Epoch:0252cost =0.095507763; MAPE0.998057371
link:603 Epoch:0253cost =0.095507242; MAPE0.997925655
link:603 Epoch:0254cost =0.095506661; MAPE0.997769682
link:603 Epoch:0255cost =0.095505968; MAPE0.997582046
link:603 Epoch:0256cost =0.095505171; MAPE0.997351998
link:603 Epoch:0257cost =0.095504202; MAPE0.997063344
link:603 Epoch:0258cost =0.095503032; MAPE0.996690595
link:603 Epoch:0259cost =0.095501550; MAPE0.996191211
link:603 Epoch:0260cost =0.095499508; MAPE0.995488657
link:603 Epoch:0261cost =0.095496804; MAPE0.994430349
link:603 Epoch:0262cost =0.095492832; MAPE0.992664083
link:603 Epoch:0263cost =0.095486365; MAPE0.989168015
link:603 Epoch:0264cost =0.095473997; MAPE0.979467925
link:603 Epoch:0265cost =0.095440850; MAPE0.911880172
link:603 Epoch:0266cost =0.095222600; MAPE2.689009503
link:603 Epoch:0267cost =0.104012392; MAPE0.999961308
link:603 Epoch:0268cost =0.095514990; MAPE0.999960993
link:603 Epoch:0269cost =0.095514819; MAPE0.999960648
link:603 Epoch:0270cost =0.095514402; MAPE0.999960270
link:603 Epoch:0271cost =0.095513813; MAPE0.999959852
link:603 Epoch:0272cost =0.095513515; MAPE0.999959391
link:603 Epoch:0273cost =0.095513225; MAPE0.999958882
link:603 Epoch:0274cost =0.095512971; MAPE0.999958319
link:603 Epoch:0275cost =0.095512681; MAPE0.999957698
link:603 Epoch:0276cost =0.095512293; MAPE0.999957016
link:603 Epoch:0277cost =0.095511988; MAPE0.999956268
link:603 Epoch:0278cost =0.095511518; MAPE0.999955451
link:603 Epoch:0279cost =0.095511086; MAPE0.999954561
link:603 Epoch:0280cost =0.095510587; MAPE0.999953591
link:603 Epoch:0281cost =0.095509969; MAPE0.999952536
link:603 Epoch:0282cost =0.095509104; MAPE0.999951399
link:603 Epoch:0283cost =0.095508039; MAPE0.999950205
link:603 Epoch:0284cost =0.095506273; MAPE0.999949049
link:603 Epoch:0285cost =0.095502838; MAPE0.999948310
link:603 Epoch:0286cost =0.095493279; MAPE0.999950143
link:603 Epoch:0287cost =0.095425300; MAPE0.999974421
link:603 Epoch:0288cost =0.085604526; MAPE0.999993232
link:603 Epoch:0289cost =0.077252246; MAPE0.999991366
link:603 Epoch:0290cost =0.077154078; MAPE0.999993486
link:603 Epoch:0291cost =0.077100709; MAPE0.999993508
link:603 Epoch:0292cost =0.076300301; MAPE0.999994954
link:603 Epoch:0293cost =0.042249173; MAPE0.999996225
link:603 Epoch:0294cost =0.041489679; MAPE0.999995360
link:603 Epoch:0295cost =0.041762337; MAPE0.999995550
link:603 Epoch:0296cost =0.040204756; MAPE0.999998206
link:603 Epoch:0297cost =0.059665002; MAPE0.999997907
link:603 Epoch:0298cost =0.059460651; MAPE0.999997080
link:603 Epoch:0299cost =0.054987866; MAPE0.999991320
link:603 Epoch:0300cost =0.041699633; MAPE0.999991584
link:603 Epoch:0301cost =0.041691627; MAPE0.999991573
link:603 Epoch:0302cost =0.041688405; MAPE0.999991594
link:603 Epoch:0303cost =0.041684568; MAPE0.999991649
link:603 Epoch:0304cost =0.041679904; MAPE0.999991741
link:603 Epoch:0305cost =0.041674417; MAPE0.999991873
link:603 Epoch:0306cost =0.041667376; MAPE0.999992048
link:603 Epoch:0307cost =0.041658133; MAPE0.999992271
link:603 Epoch:0308cost =0.041645143; MAPE0.999992545
link:603 Epoch:0309cost =0.041626304; MAPE0.999992876
link:603 Epoch:0310cost =0.041596752; MAPE0.999993269
link:603 Epoch:0311cost =0.041545585; MAPE0.999993740
